original_game_id,user_id,game_id,category_id,level_id,position
76r343v6,5j5lnyqx,m9dozm1p,wdmqx52q,None,9
76r343v6,5j5lnyqx,m9dozm1p,xk9el1x2,None,4
76r343v6,5j5lnyqx,m1zekm10,mkewon6k,None,1
76r343v6,5j5lnyqx,m1zekm10,q25845g2,None,1
76r343v6,5j5lnyqx,m1zekm10,zdnrqox2,None,2
76r343v6,5j5lnyqx,76r343v6,w2086qvd,None,1
76r343v6,5j5lnyqx,m1zklz10,wk6j3eed,None,15
76r343v6,5j5lnyqx,pd0wq31e,n2y1y72o,None,262
76r343v6,5j5lnyqx,w6j7vxe6,zdnzojnd,None,1
76r343v6,5j5lnyqx,y6555m76,zdnnojnd,None,2
76r343v6,5j5lnyqx,76r343v6,w2086qvd,None,2
76r343v6,5j5lnyqx,76r343v6,vdoz951k,None,1
76r343v6,5j5lnyqx,76r343v6,wdm9y5xk,None,1
76r343v6,5j5lnyqx,76r343v6,wkp94502,None,1
76r343v6,5j5lnyqx,76r343v6,7dgxomxk,None,1
76r343v6,5j5lnyqx,y657jede,ndxp0312,None,112
76r343v6,5j5lnyqx,y6555m76,zdnnojnd,None,1
76r343v6,5j5lnyqx,ldezond3,wdmolekq,None,44
76r343v6,5j5lnyqx,yd4ozgk1,wk6oxpxk,None,48
76r343v6,5j5lnyqx,y65425ed,vdom8412,None,3
76r343v6,5j5lnyqx,k6q4ov9d,02qv8v9d,None,7
76r343v6,5j5lnyqx,k6q4ov9d,q25m8mgd,None,2
