original_game_id,user_id,game_id,category_id,level_id,position
j1n2j91p,y8dvnpl8,j1n2j91p,wkpjle0k,None,1
j1n2j91p,48ge071j,576rje18,7wkp1gkr,None,235
j1n2j91p,48ge071j,j1n2j91p,wkpjle0k,None,3
j1n2j91p,qxkovq98,j1n2j91p,wkpjle0k,None,2
j1n2j91p,5j5w52zj,j1n2j91p,wkpjle0k,None,5
j1n2j91p,j4r13yv8,j1n2j91p,wkpjle0k,None,4
j1n2j91p,e8empe2x,pd02kw1e,02q80l92,owoeryyd,9
j1n2j91p,e8empe2x,76rm2l18,z2775z02,kwjy4ezw,5
j1n2j91p,e8empe2x,pdvzmeo6,n2yg4n72,xd18l7zw,6
j1n2j91p,e8empe2x,pdvzmeo6,n2yg4n72,owoq40jd,7
j1n2j91p,e8empe2x,j1n2j91p,wkpjle0k,None,6
j1n2j91p,e8empe2x,369yx81l,vdoy5o2p,None,15
j1n2j91p,e8empe2x,pd02kw1e,824m3rn2,None,11
j1n2j91p,e8empe2x,j1llwz1g,9d86ql2n,None,450
j1n2j91p,e8empe2x,k6qe2z6g,zd3lzxed,None,4
j1n2j91p,e8empe2x,k6qe2z6g,xd13zvzk,None,8
j1n2j91p,e8empe2x,m1m0xp62,7kjv0n4k,None,16
