original_game_id,user_id,game_id,category_id,level_id,position
yd47mkde,98rp2wdj,lde3nex6,9d8xnz32,None,52
yd47mkde,98rp2wdj,46w9xn1r,02q88gy2,None,58
yd47mkde,98rp2wdj,yd47mkde,rkl758dn,xd0xlmdq,4
yd47mkde,98rp2wdj,yd47mkde,rkl758dn,rw63rpw7,4
yd47mkde,98rp2wdj,yd47mkde,rkl758dn,n93on290,4
yd47mkde,98rp2wdj,yd47mkde,rkl758dn,z98nzr9l,4
yd47mkde,98rp2wdj,yd47mkde,rkl758dn,rdnnl5dm,4
yd47mkde,98rp2wdj,yd47mkde,q25l38ko,None,4
yd47mkde,98rp2wdj,yd47mkde,rkl758dn,ldy25pw3,4
yd47mkde,98rp2wdj,yd47mkde,rkl758dn,29v2jqdv,4
yd47mkde,98rp2wdj,yd47mkde,rkl758dn,gdr28e9z,4
yd47mkde,98rp2wdj,yd47mkde,rkl758dn,xd4xnq9m,4
yd47mkde,98rp2wdj,lde3yx63,zdnqlmnd,None,7
yd47mkde,98rp2wdj,9d38w01l,7dg8yv72,z98re3gd,12
yd47mkde,98rp2wdj,lde3yx63,7kjzond3,None,19
yd47mkde,qj20d6xk,xkdk2edm,7dg16gd4,None,2
yd47mkde,qj20d6xk,nj1njw6p,7dggrxd4,None,2
yd47mkde,qj20d6xk,nj1njw6p,vdo4o12p,None,9
yd47mkde,qj20d6xk,4d793lg1,7kj37jz2,None,1
yd47mkde,qj20d6xk,4d793lg1,7kjl1w42,None,1
yd47mkde,qj20d6xk,pdvz2k6w,jdrpmn26,None,2
yd47mkde,qj20d6xk,4d793lg1,mkeqly6k,None,1
yd47mkde,qj20d6xk,o6gl2r9d,824jxle2,None,2
yd47mkde,qj20d6xk,4d793lg1,xk9xn8gk,None,1
yd47mkde,qj20d6xk,4d793lg1,z27volo2,None,1
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,rdnopqqw,3
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,495k8m09,2
yd47mkde,qj20d6xk,pdvz2k6w,q2544njd,rw6qngrd,3
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,rw6qngrd,4
yd47mkde,qj20d6xk,4d793lg1,7kj189xk,None,1
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,5920orod,2
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,nwlg7209,4
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,gdrpqy6w,3
yd47mkde,qj20d6xk,o6gl2r9d,824jxle2,None,3
yd47mkde,qj20d6xk,o6gl2r9d,9kv6pqe2,n93mvz2d,1
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,y9m5pg5d,4
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,69zp48lw,3
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,xd403e29,2
yd47mkde,qj20d6xk,xkdk2edm,7dg16gd4,None,35
yd47mkde,qj20d6xk,nd2egvd0,02q8ly2y,None,67
yd47mkde,qj20d6xk,m1mjxk12,z27g65g2,None,5
yd47mkde,qj20d6xk,3dx2y51y,zd3y1e2n,None,13
yd47mkde,qj20d6xk,lde3zj63,9kvx7qo2,None,3
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,5wkkre2w,4
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,o9x1lx0d,2
yd47mkde,qj20d6xk,yd4oz51e,02q89j2y,None,15
yd47mkde,qj20d6xk,4d793lg1,7kj37jz2,None,2
yd47mkde,qj20d6xk,4d793lg1,q253e58k,rdqg3jo9,2
yd47mkde,qj20d6xk,4d793lg1,9kv7qx0k,None,1
yd47mkde,qj20d6xk,4d793lg1,q25gm4vd,None,4
yd47mkde,qj20d6xk,pdvz2k6w,7kjv653k,None,6
yd47mkde,qj20d6xk,pdvz2k6w,7kjv653k,None,13
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,ldy1p3kd,2
yd47mkde,qj20d6xk,v1p0x468,rklepn62,None,6
yd47mkde,qj20d6xk,369l3g6l,z27l8lod,None,1
yd47mkde,qj20d6xk,w6jyo46j,mkeo056d,None,2
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,ewp7qokw,2
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,owo723o9,2
yd47mkde,qj20d6xk,pdvz2k6w,jdrpmn26,None,2
yd47mkde,qj20d6xk,4d793lg1,zdnxloq2,None,4
yd47mkde,qj20d6xk,pdvz2k6w,7kjroo42,None,1
yd47mkde,qj20d6xk,pdvz2k6w,xk9lpp6k,None,1
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,ywe28qyw,3
yd47mkde,qj20d6xk,pdvz2k6w,xk9l116k,None,4
yd47mkde,qj20d6xk,4d793lg1,5dw76nlk,None,2
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,5d7y32gd,3
yd47mkde,qj20d6xk,576rje18,7wkp1gkr,None,85
yd47mkde,qj20d6xk,369pyw31,mkezg89k,None,5
yd47mkde,qj20d6xk,pdvz2k6w,7kjvxx4k,None,1
yd47mkde,qj20d6xk,w6jyo46j,jdrq58nk,None,1
yd47mkde,qj20d6xk,w6jyo46j,w20p68jk,None,2
yd47mkde,qj20d6xk,nd2vze10,9kvjngok,None,1
yd47mkde,qj20d6xk,pdvz2k6w,jdrpmn26,None,1
yd47mkde,qj20d6xk,y65x541e,rklel182,None,9
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,xd0k7nx9,4
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,29vmk039,3
yd47mkde,qj20d6xk,pdvz2k6w,9kvp9wek,r9gy3759,3
yd47mkde,qj20d6xk,369l3g6l,rkley1r2,ewpjkklw,5
yd47mkde,qj20d6xk,369l3g6l,rkley1r2,y9mjkkl9,3
yd47mkde,qj20d6xk,369l3g6l,zd3lezyd,None,94
yd47mkde,qj20d6xk,j1loyj1g,zdng77kq,None,7
yd47mkde,qj20d6xk,v1pg5418,8244e325,None,10
yd47mkde,qj20d6xk,369q58dl,xk9gnqxd,69z3l2od,1
yd47mkde,qj20d6xk,nd2vze10,rklen8r2,5wkrljp9,1
yd47mkde,qj20d6xk,4d793lg1,q253e58k,ldyj5ypd,4
yd47mkde,qj20d6xk,4d793lg1,q253e58k,kwj3850d,8
yd47mkde,qj20d6xk,4d793lg1,q253e58k,r9grj2jw,5
yd47mkde,qj20d6xk,4d793lg1,q253e58k,nwlnylod,4
