user,game_id,category_id,level_id,time,date,emulated
1xyrrgzj,9d3rr0dl,n2y180m2,None,183,2016-03-22,False
1xyrrgzj,9d3rr0dl,n2y180m2,None,179,2016-03-23,False
1xyrrgzj,9d3rr0dl,n2y180m2,None,201,2016-03-22,False
1xyrrgzj,9d3rr0dl,n2y180m2,None,196,2016-03-22,False
1xyrrgzj,9d3rr0dl,n2y180m2,None,189,2016-03-22,False
1xyrrgzj,o6g8m512,7kjv9wnk,None,2379,2016-03-19,False
1xyrrgzj,o6g8m512,n2yqnzzk,None,1588,2016-03-20,False
1xyrrgzj,o6g8m512,xk90x74k,None,2614,2016-03-19,False
1xyrrgzj,o6g8m512,wk6p3yqd,None,1040,2016-03-19,False
1xyrrgzj,o6g8m512,z27gvj02,None,2983,2016-03-19,False
1xyrrgzj,yd4y3gde,zd304lrd,ywe2mpyw,28.39,2016-03-27,False
1xyrrgzj,yd4y3gde,rklxmg8k,69zpn0lw,57.58,2016-03-27,False
1xyrrgzj,yd4y3gde,q25owo8k,None,2269.121,2016-03-27,False
1xyrrgzj,yd4y3gde,rklxmg8k,nwlgpe09,65.52,2016-03-27,False
1xyrrgzj,yd4y3gde,rklxmg8k,ldy180kd,25.07,2016-03-27,False
1xyrrgzj,j1ne5nl1,vdoxvvvd,None,1720,2022-07-16,True
1xyrrgzj,j1ne5nl1,wkp0llw2,None,4193,2022-07-23,True
