user,game_id,category_id,level_id,time,date,emulated
8e96612j,vo6gr5d2,lvdog92p,xo9xl39l,53.75,2020-06-17,False
8e96612j,576r7q18,7wkpwjdr,None,4501,2020-08-15,False
8e96612j,576r7q18,jdrwo0k6,5wk1pxd4,14.3,2020-03-24,False
8e96612j,576r7q18,jdrwo0k6,495ly4dp,19.9,2020-09-10,False
8e96612j,576r7q18,jdrwo0k6,y9m18095,14.6,2022-01-02,False
8e96612j,576r7q18,jdrwo0k6,gdr1gkwz,17.9,2022-02-28,False
8e96612j,576r7q18,jdrwo0k6,r9g1r292,16.2,2022-06-07,False
8e96612j,576r7q18,jdrwo0k6,69znx491,3,2023-01-10,False
8e96612j,576r7q18,7wkpwjdr,None,4873,2020-07-09,False
8e96612j,576r7q18,jdrwo0k6,xd03xjdq,15.6,2020-06-27,False
8e96612j,576r7q18,jdrwo0k6,rdq5ggdx,11.7,2020-08-28,False
8e96612j,576r7q18,jdrwo0k6,xd03xjdq,13.7,2022-01-20,False
8e96612j,576r7q18,jdrwo0k6,o9x3k79l,19.2,2022-06-08,False
8e96612j,576r7q18,7wkpwjdr,None,5182,2020-07-08,False
8e96612j,576r7q18,jdrwo0k6,n93yord0,15.8,2020-03-11,False
8e96612j,576r7q18,jdrwo0k6,kwj131wg,22.8,2020-09-08,False
8e96612j,576r7q18,7wkpwjdr,None,3679,2020-12-28,False
8e96612j,576r7q18,jdrwo0k6,owoql3d6,13.3,2022-01-23,False
8e96612j,576r7q18,jdrwo0k6,ldy827w3,27.7,2022-06-11,False
8e96612j,576r7q18,7wkpwjdr,None,5516,2020-07-07,False
8e96612j,576r7q18,jdrwo0k6,z98gn1wl,8.7,2020-06-23,False
8e96612j,576r7q18,jdrwo0k6,kwj131wg,25.8,2020-06-25,False
8e96612j,576r7q18,jdrwo0k6,xd186ywo,8.8,2022-02-04,False
8e96612j,576r7q18,jdrwo0k6,29v52xdv,16,2022-06-12,False
8e96612j,576r7q18,7wkpwjdr,None,3976,2020-11-02,False
8e96612j,576r7q18,7wkpwjdr,None,5572,2020-07-03,False
8e96612j,576r7q18,jdrwo0k6,rdn2n6dm,42.6,2020-09-10,False
8e96612j,576r7q18,jdrwo0k6,xd186ywo,12.4,2020-06-26,False
8e96612j,576r7q18,jdrwo0k6,rdn2n6dm,41.7,2022-02-09,False
8e96612j,576r7q18,jdrwo0k6,y9m18095,14,2022-12-23,False
8e96612j,576r7q18,jdrwo0k6,o9x3k79l,25.3,2020-06-25,False
8e96612j,576r7q18,7wkpwjdr,None,6315,2020-07-02,False
8e96612j,576r7q18,jdrwo0k6,r9g1r292,17.3,2020-10-06,False
8e96612j,576r7q18,jdrwo0k6,y9m1y095,113.8,2020-06-23,False
8e96612j,576r7q18,jdrwo0k6,xd4rx89m,22.4,2022-02-09,False
8e96612j,576r7q18,jdrwo0k6,n93yord0,14.8,2022-12-28,False
8e96612j,576r7q18,jdrwo0k6,y9m18095,17,2020-06-18,False
8e96612j,576r7q18,jdrwo0k6,o9x3k79l,22.5,2020-08-15,False
8e96612j,576r7q18,jdrwo0k6,29v5jxdv,56.3,2020-05-29,False
8e96612j,576r7q18,jdrwo0k6,29v5jxdv,51.9,2022-02-22,False
8e96612j,576r7q18,jdrwo0k6,rdq5ggdx,10.3,2022-01-05,False
8e96612j,576r7q18,jdrwo0k6,nwlpng9v,11.1,2022-12-29,False
8e96612j,576r7q18,7wkpwjdr,None,4252,2020-08-28,False
8e96612j,576r7q18,jdrwo0k6,y9m18095,18.8,2020-02-12,False
8e96612j,576r7q18,jdrwo0k6,495ly4dp,19.6,2020-09-10,False
8e96612j,576r7q18,jdrwo0k6,29v5jxdv,59.2,2020-05-26,False
8e96612j,576r7q18,jdrwo0k6,ewp0e4dn,18.4,2022-02-27,False
8e96612j,576r7q18,jdrwo0k6,ywemn4dl,37.3,2022-06-04,False
8e96612j,4pdvn46w,vdo0mqod,495kknj9,13,2020-11-07,False
8e96612j,9dow9e1p,w205o8dn,kwjvv0wg,76.9,2022-05-17,False
8e96612j,9dow9e1p,w205o8dn,ldy33p93,49.96,2022-05-11,False
8e96612j,9dow9e1p,wk64yqd1,kwjvv0wg,23.75,2022-05-17,False
8e96612j,9dow9e1p,wk64yqd1,o9xxx39l,15.5,2022-05-14,False
8e96612j,9dow9e1p,w205o8dn,ldy33p93,46.98,2022-05-16,False
8e96612j,9dow9e1p,w205o8dn,o9xxx39l,49.16,2022-05-14,False
8e96612j,9dow9e1p,wk64yqd1,ldy33p93,15.1,2022-05-16,False
8e96612j,9dow9e1p,w205o8dn,29vzzqdv,59.68,2022-05-16,False
8e96612j,9dow9e1p,w205o8dn,5wkqqvw4,47.53,2022-05-16,False
8e96612j,9dow9e1p,wk64yqd1,29vzzqdv,18.43,2022-05-16,False
8e96612j,9dow9e1p,wk64yqd1,5wkqqvw4,14.85,2022-05-16,False
