user,game_id,category_id,level_id,time,date,emulated
j9rdppoj,j1lo7z1g,zd3zlvkn,None,77.3,2022-11-23,True
j9rdppoj,m1mzoxd2,mkeoomjd,None,940,2023-02-04,False
j9rdppoj,j1lz8z6g,z27ggx42,None,95,2022-11-28,False
j9rdppoj,9doye36p,7kjv3yxk,None,79,2023-02-13,True
j9rdppoj,9doye36p,7kjv3yxk,None,71,2023-03-02,False
j9rdppoj,nd22oed0,9d8ploqk,None,95.083,2022-11-25,False
j9rdppoj,j1n29w1p,z2739god,None,4.2,2022-11-19,False
j9rdppoj,j1n2xe1p,rklxme8k,None,74.05,2023-02-11,False
j9rdppoj,o6gql912,mkez3xjk,None,697.183,2022-11-20,False
j9rdppoj,lder2l63,jdz5qv3d,None,46.733,2022-11-28,False
j9rdppoj,268mkydp,z277p602,None,29.43,2022-12-06,True
j9rdppoj,268mkydp,xk990nvk,None,322.933,2023-02-13,False
j9rdppoj,369m921l,wdmq7rx2,None,137,2023-01-31,False
j9rdppoj,3dxoxydy,jdrpzex2,None,285.533,2022-11-26,False
j9rdppoj,3dxoxydy,jdrpzex2,None,369.117,2022-11-26,False
j9rdppoj,3dxoxydy,jdz5y7vd,None,33.617,2023-01-17,False
j9rdppoj,3dxoxydy,jdrpzex2,None,261.933,2023-01-23,False
j9rdppoj,kdk59ldm,jdzpqn6k,None,107.383,2022-11-19,True
j9rdppoj,46w0271r,824mg6w2,None,356.35,2022-12-04,False
j9rdppoj,ldevr513,rklzrow2,None,163.71,2023-01-31,False
j9rdppoj,ldelo563,zdnrvwq2,None,769,2022-12-27,False
j9rdppoj,v1pn4pd8,mkej6g82,None,48.786,2023-02-24,False
j9rdppoj,v1pn4pd8,mkej6g82,None,47.067,2023-02-26,False
j9rdppoj,kdkx4g6m,mkezeq6k,None,1723,2023-02-23,False
j9rdppoj,46wpq9dr,z276glgd,None,423,2022-12-07,False
j9rdppoj,m1mxvz46,9kvmxz0k,None,46.417,2022-11-22,False
j9rdppoj,m1mxvz46,w20vmjok,None,19.95,2022-11-21,False
j9rdppoj,j1lllr41,jdzelevd,None,1485,2023-02-10,False
j9rdppoj,j1lllr41,jdzelevd,None,1430,2023-02-11,False
j9rdppoj,kdkzvmld,n2y5pv7k,None,271,2022-12-11,False
j9rdppoj,kdkzvmld,xk9gowvd,None,357,2022-12-18,False
j9rdppoj,kdkzvmld,n2y5pv7k,None,267,2023-01-11,False
j9rdppoj,kdkzvmld,xk9gowvd,None,332,2023-01-11,False
j9rdppoj,kdkzvmld,82465o3d,None,5,2023-01-13,False
j9rdppoj,kdkzv52d,02qlqw7k,None,309.81,2023-01-11,False
j9rdppoj,kdkzv52d,02qlqw7k,None,249.76,2023-01-17,False
j9rdppoj,3dx20pp1,zdn1z3qk,None,19.167,2022-11-05,False
j9rdppoj,3dx20pp1,9kv6qq82,None,27.667,2022-11-05,False
j9rdppoj,3dx20pp1,zdnojr72,None,482.6,2022-11-06,False
j9rdppoj,3dx20pp1,mkelr4nd,None,69.567,2022-11-13,False
j9rdppoj,3dx20pp1,z27owegd,None,18.267,2022-11-13,False
j9rdppoj,3dx20pp1,5dw68602,None,105.967,2022-11-13,False
j9rdppoj,o6glvznd,n2y7w972,None,542.7,2022-11-26,False
j9rdppoj,76rxy2e6,7dg4rnpd,None,823,2022-12-30,False
j9rdppoj,9downro1,02qp3n7d,None,234,2023-02-17,True
j9rdppoj,m1mxwmx6,wk6v81rd,None,1219,2023-03-01,False
j9rdppoj,m1mxwmx6,wk6v81rd,None,1230,2023-03-02,False
j9rdppoj,v1poegp6,9d8x40w2,None,680,2022-11-15,False
j9rdppoj,m1mxwox6,wk6v8ped,None,667,2023-02-14,False
j9rdppoj,m1mxwox6,wk6v8ped,None,613,2023-02-15,False
j9rdppoj,m1mxwox6,wk6v8ped,None,688,2023-02-15,False
j9rdppoj,m1mxwox6,wk6v8ped,None,599,2023-02-18,False
j9rdppoj,m1mxwox6,wk6v8ped,None,607,2023-02-25,False
j9rdppoj,m1mxwox6,wk6v8ped,None,35671,2023-03-06,False
j9rdppoj,4d795kz1,zd38jmvk,None,657,2023-01-17,False
j9rdppoj,4d795kz1,w20q09vd,None,1223,2023-01-17,False
j9rdppoj,46w3v591,02qpe19d,None,308.967,2022-11-22,False
j9rdppoj,46w3v591,02qpe19d,None,263.6,2023-01-29,False
j9rdppoj,v1po7576,jdz7y0xk,None,259.867,2022-11-18,False
j9rdppoj,v1po7576,jdz7y0xk,None,59.317,2022-11-18,False
j9rdppoj,v1po7576,jdz7y0xk,None,68.8,2022-11-18,False
j9rdppoj,v1po7576,n2y7w6e2,None,291.15,2022-11-20,False
j9rdppoj,v1po7576,n2y7w6e2,None,289.58,2022-11-20,False
j9rdppoj,v1po7576,n2y7w6e2,None,60.27,2022-11-20,False
j9rdppoj,v1po7576,7kj1xygk,None,291.75,2022-11-20,False
j9rdppoj,j1nexre1,q25gq9jd,None,731,2022-12-25,False
j9rdppoj,j1nexre1,q25gq9jd,None,684,2022-12-27,False
j9rdppoj,9d3rjn0d,ndx48pr2,None,511,2023-02-02,False
j9rdppoj,nd2eqeed,mke4z962,None,2397,2022-11-26,False
j9rdppoj,w6jlkk2d,5dwg9gek,None,206,2022-11-23,True
j9rdppoj,w6jlrjxd,mke46l92,None,360.95,2022-11-19,False
j9rdppoj,j1nel3w1,824jjen2,None,852,2022-11-23,False
j9rdppoj,pdv23v96,w208wrvd,None,465,2022-11-13,False
j9rdppoj,pdv23v96,vdozor1k,None,289,2022-11-26,False
j9rdppoj,pdv23v96,wdm9wnxk,None,268,2022-11-29,False
j9rdppoj,4d7n9en6,02q998yk,None,374,2022-11-21,False
j9rdppoj,pdv2g5o6,7dgm4g7d,None,212.42,2022-11-28,False
j9rdppoj,j1lq9546,z27wyp5k,None,652,2022-11-30,True
j9rdppoj,9d38kne1,7dgmovpd,None,174.58,2022-12-30,False
j9rdppoj,k6qwr4x6,wk6w9zx2,None,768,2022-12-11,False
j9rdppoj,pdv2r0k6,mkeye9j2,None,225.58,2023-01-10,False
j9rdppoj,pdv2r0k6,5dwn045d,None,272.39,2023-01-10,False
j9rdppoj,k6qwrl06,xd153jz2,None,785,2023-02-26,False
j9rdppoj,kdkmrge1,824808nk,None,804.66,2023-01-26,False
j9rdppoj,kdkmrge1,824808nk,None,790.75,2023-01-26,False
j9rdppoj,kdkmrge1,9d8l3ll2,None,827.62,2023-01-27,False
j9rdppoj,ldeje0l1,w20e4q5d,None,186,2022-11-18,False
j9rdppoj,46w2x876,9d8npl7d,None,123,2022-12-25,False
j9rdppoj,yd4keow6,n2ym94z2,None,139.583,2022-11-23,False
j9rdppoj,yd4keow6,wk64emqd,None,8.85,2022-11-23,False
j9rdppoj,yd4keow6,wk64emqd,None,8.81,2023-01-10,False
j9rdppoj,yd4kex56,xd1qqg72,None,433.617,2022-11-28,False
j9rdppoj,m1zkorz1,5dwxx4e2,None,1669,2022-11-28,False
j9rdppoj,ldej5k51,xk996r4k,None,194,2022-12-19,False
j9rdppoj,ldej5k51,xk996r4k,None,400,2022-12-19,False
j9rdppoj,ldej5k51,xk996r4k,None,809,2022-12-19,False
j9rdppoj,ldej5k51,vdonv8yk,None,292,2023-01-01,False
j9rdppoj,ldej5k51,vdonv8yk,None,228,2023-01-01,False
j9rdppoj,ldej5k51,jdzomzv2,None,833,2023-01-16,False
j9rdppoj,ldej5k51,7dg7en7d,None,1268,2023-01-16,False
j9rdppoj,ldej5k51,02q7nzpd,None,1895,2023-01-16,False
j9rdppoj,ldej5k51,5dwxe4e2,None,2792,2023-01-16,False
j9rdppoj,ldej5k51,5dwxe4e2,None,2757,2023-01-19,False
j9rdppoj,ldej5k51,jdzomzv2,None,712,2023-01-21,False
j9rdppoj,ldej5k51,7dg7en7d,None,1263,2023-01-21,False
j9rdppoj,ldej5k51,02q7nzpd,None,1742,2023-01-21,False
j9rdppoj,ldej5k51,5dwxe4e2,None,2577,2023-01-21,False
j9rdppoj,9do854m1,zdn730ek,None,746.95,2022-12-16,False
j9rdppoj,9do854m1,q259pgyk,None,1507.51,2022-12-18,False
j9rdppoj,k6qw5zo6,wkprl6j2,None,405.74,2022-12-18,False
j9rdppoj,m1zk4401,wk6450qd,None,754,2023-01-26,False
j9rdppoj,pd0qgw01,xd1qypw2,None,225,2023-01-13,False
j9rdppoj,pd0qgw01,zd3r9erd,None,2064,2023-01-13,False
j9rdppoj,pd0qgw01,9kvlvz32,None,335,2023-01-13,False
j9rdppoj,j1n8vnl1,wdmo0x4k,None,731,2023-02-03,False
j9rdppoj,9d3804g1,q25wq9v2,None,278.483,2023-02-25,True
j9rdppoj,ldejvpl1,xd1olj8k,None,1793,2023-03-07,False
j9rdppoj,ldejvpl1,xd1olj8k,None,911,2023-03-13,False
j9rdppoj,ldejvpl1,xd1olj8k,None,1074,2023-03-12,False
j9rdppoj,ldejvpl1,xd1olj8k,None,561,2023-03-14,False
j9rdppoj,ldejvpl1,xd1olj8k,None,997,2023-03-16,False
j9rdppoj,ldejvpl1,xd1olj8k,None,590,2023-03-17,False
j9rdppoj,ldejvpl1,xd1olj8k,None,622,2023-03-20,False
j9rdppoj,ldejvpl1,xd1olj8k,None,953,2023-03-24,False
