user,game_id,category_id,level_id,time,date,emulated
qj22g2nj,o1y9wo6q,n2y55mko,None,1377,2022-02-01,False
qj22g2nj,76r33v68,n2y33mdo,None,8487,2022-12-23,True
qj22g2nj,76r43l18,w20wryod,None,509.77,2022-01-25,False
qj22g2nj,3dx5551y,wk6xepk1,None,265,2019-05-12,False
qj22g2nj,3dx5551y,mkeg9626,ywev6qdl,40,2020-02-19,False
qj22g2nj,3dx5551y,wk6xepk1,None,261,2019-07-07,False
qj22g2nj,3dx5551y,mkeg9626,495q729p,50,2020-02-13,False
qj22g2nj,3dx5551y,wk6xepk1,None,541,2017-12-17,False
qj22g2nj,3dx5551y,mkeg9626,rdqmxm9x,26,2020-02-13,False
qj22g2nj,3dx5551y,wk6xepk1,None,501,2018-09-24,False
qj22g2nj,3dx5551y,wk6xepk1,None,237,2020-02-13,False
qj22g2nj,3dx5551y,mkeg9626,5d7jo5dy,24,2020-02-13,False
qj22g2nj,3dx5551y,wk6xepk1,None,467,2018-09-28,False
qj22g2nj,3dx5551y,wk6xepk1,None,399,2018-09-30,False
qj22g2nj,3dx5551y,mkeg9626,nwlmrp9v,17,2020-02-13,False
qj22g2nj,3dx5551y,mkeg9626,rdnlkl7w,39,2020-02-19,False
qj22g2nj,3dx5551y,wk6xepk1,None,386,2018-10-03,False
qj22g2nj,3dx5551y,mkeg9626,r9gmvq92,29,2020-02-13,False
qj22g2nj,3dx5551y,wk6xepk1,None,305,2018-10-13,False
qj22g2nj,3dx5551y,mkeg9626,69zlk6d1,25,2020-02-13,False
qj22g2nj,3dx5551y,wk6xepk1,None,280,2019-02-13,False
qj22g2nj,3dx5551y,mkeg9626,o9xyp6dl,26,2020-02-13,False
qj22g2nj,369v231l,02qgpwpd,None,419,2020-04-26,False
qj22g2nj,369v231l,9kvp738k,rdnooj6w,24.357,2023-03-27,False
qj22g2nj,369v231l,02qgpwpd,None,379,2020-05-03,False
qj22g2nj,369v231l,02qgpwpd,None,275,2023-03-29,False
qj22g2nj,369v231l,02qgpwpd,None,647.051,2020-04-05,False
qj22g2nj,369v231l,02qgpwpd,None,297,2023-02-24,False
qj22g2nj,369v231l,02qgpwpd,None,537.625,2020-04-16,False
qj22g2nj,369v231l,9kvp738k,rdnooj6w,28.005,2023-02-25,False
qj22g2nj,369v231l,02qgpwpd,None,488,2020-04-20,False
qj22g2nj,369v231l,02qgpwpd,None,286,2023-03-04,False
qj22g2nj,nd2ee0rd,vdoo1e9d,None,1095,2021-02-11,True
qj22g2nj,76r3j9v6,jdrrrq5d,None,6363,2021-10-02,False
qj22g2nj,76r3j9v6,vdo55oyk,xd41em8d,588,2021-10-02,False
qj22g2nj,76r3j9v6,vdo55oyk,rdq846od,636,2021-10-14,False
qj22g2nj,76r3j9v6,vdo55oyk,ewp3ov4d,451,2021-12-26,False
qj22g2nj,76r3j9v6,vdo55oyk,y9m6gv0w,234,2022-01-03,False
qj22g2nj,76r3j9v6,jdrrrq5d,None,4745,2022-01-22,False
qj22g2nj,76r3j9v6,vdo55oyk,rdq846od,552,2022-07-01,False
qj22g2nj,76r3j9v6,vdo55oyk,xd01njjw,287,2022-07-31,False
qj22g2nj,76r3j9v6,vdo55oyk,kwjg6m1w,398,2021-10-02,False
qj22g2nj,76r3j9v6,vdo55oyk,xd01njjw,446,2021-10-02,False
qj22g2nj,76r3j9v6,vdo55oyk,592kr169,477,2021-10-14,False
qj22g2nj,76r3j9v6,vdo55oyk,29v60vxw,227,2021-12-27,False
qj22g2nj,76r3j9v6,vdo55oyk,29v60vxw,221,2022-01-09,False
qj22g2nj,76r3j9v6,vdo55oyk,5wkxevx9,282,2022-07-01,False
qj22g2nj,76r3j9v6,jdrrrq5d,None,4540,2022-10-15,False
qj22g2nj,76r3j9v6,vdo55oyk,owoj5v39,306,2021-10-02,False
qj22g2nj,76r3j9v6,vdo55oyk,rdq846od,946,2021-10-02,False
qj22g2nj,76r3j9v6,vdo55oyk,kwjg6m1w,339,2021-10-14,False
qj22g2nj,76r3j9v6,vdo55oyk,5d71x0ed,192,2021-12-27,False
qj22g2nj,76r3j9v6,vdo55oyk,592kr169,436,2022-01-16,False
qj22g2nj,76r3j9v6,vdo55oyk,owoj5v39,213,2022-07-04,False
qj22g2nj,76r3j9v6,vdo55oyk,xd1myoyd,478,2021-10-02,False
qj22g2nj,76r3j9v6,vdo55oyk,592kr169,636,2021-10-02,False
qj22g2nj,76r3j9v6,jdrrrq5d,None,5305,2021-10-27,False
qj22g2nj,76r3j9v6,jdrrrq5d,None,5021,2021-12-30,False
qj22g2nj,76r3j9v6,vdo55oyk,rdq8ovgd,169,2022-01-15,False
qj22g2nj,76r3j9v6,vdo55oyk,xd1myoyd,274,2022-07-04,False
qj22g2nj,76r3j9v6,vdo55oyk,ewp3ov4d,788,2021-10-02,False
qj22g2nj,76r3j9v6,jdrrrq5d,None,5957,2021-10-07,False
qj22g2nj,76r3j9v6,jdrrrq5d,None,5108,2021-11-16,False
qj22g2nj,76r3j9v6,vdo55oyk,592kr169,461,2021-12-30,False
qj22g2nj,76r3j9v6,vdo55oyk,xd1myoyd,311,2022-01-15,False
qj22g2nj,76r3j9v6,vdo55oyk,kwjg6m1w,314,2022-07-04,False
qj22g2nj,76r3j9v6,vdo55oyk,rdq8ovgd,178,2021-09-28,False
qj22g2nj,76r3j9v6,vdo55oyk,y9m6gv0w,419,2021-10-02,False
qj22g2nj,76r3j9v6,vdo55oyk,xd41em8d,482,2021-10-12,False
qj22g2nj,76r3j9v6,vdo55oyk,5wkxevx9,429,2021-12-03,False
qj22g2nj,76r3j9v6,vdo55oyk,5wkxevx9,424,2021-12-28,False
qj22g2nj,76r3j9v6,vdo55oyk,29v60vxw,219,2022-01-15,False
qj22g2nj,76r3j9v6,vdo55oyk,rdq8ovgd,165,2022-05-29,False
qj22g2nj,76r3j9v6,vdo55oyk,y9m6gv0w,231,2022-07-04,False
qj22g2nj,76r3j9v6,jdrrrq5d,None,6871,2021-09-29,False
qj22g2nj,76r3j9v6,vdo55oyk,5wkxevx9,569,2021-10-02,False
qj22g2nj,76r3j9v6,vdo55oyk,5wkxevx9,453,2021-10-12,False
qj22g2nj,76r3j9v6,vdo55oyk,29v60vxw,229,2021-12-21,False
qj22g2nj,76r3j9v6,vdo55oyk,rdq846od,580,2022-01-03,False
qj22g2nj,76r3j9v6,5dw1l3lk,None,982,2022-01-17,False
qj22g2nj,76r3j9v6,vdo55oyk,ewp3ov4d,394,2022-06-07,False
qj22g2nj,76r3j9v6,vdo55oyk,xd41em8d,467,2022-07-04,False
qj22g2nj,76r3j9v6,vdo55oyk,5d71x0ed,205,2021-09-28,False
qj22g2nj,76r3j9v6,vdo55oyk,29v60vxw,276,2021-10-02,False
