user,game_id,category_id,level_id,time,date,emulated
qjolzlj6,om1mx362,7kjvmgk3,None,5957,2016-06-20,False
qjolzlj6,4pd0n31e,n2yq98ko,None,1089.46,2020-03-31,False
qjolzlj6,4pd0n31e,n2yq98ko,None,1145.145,2020-03-20,False
qjolzlj6,4pd0n31e,n2yq98ko,None,1177,2016-05-14,False
qjolzlj6,4pd0n31e,n2yq98ko,None,1468,2016-05-03,False
qjolzlj6,4pd05v1e,ndx7oq12,None,6701,2022-07-21,False
qjolzlj6,n4d7oz17,w20g0xjk,None,3398,2019-10-29,False
qjolzlj6,n4d7oz17,w20g0xjk,None,3269,2019-10-30,False
qjolzlj6,n4d7oz17,wdmzro2q,None,15181,2019-11-01,False
qjolzlj6,n4d7oz17,w20g0xjk,None,3179,2019-11-13,False
qjolzlj6,n4d7oz17,wdmzro2q,None,14976,2019-11-18,False
qjolzlj6,n4d7oz17,w20g0xjk,None,3119,2019-11-19,False
qjolzlj6,n4d7oz17,wdm8ll52,None,3301,2020-04-09,False
qjolzlj6,n4d7oz17,wdmzro2q,None,13375,2019-11-19,False
qjolzlj6,pd0w2v1e,xk98w420,None,637,2016-02-16,False
qjolzlj6,y65420de,xd13zwk8,None,6058.719,2019-12-28,False
qjolzlj6,y65420de,xd13zwk8,None,6676,2017-04-27,False
qjolzlj6,y65420de,xd13zwk8,None,7251.12,2015-12-27,False
qjolzlj6,kdkz2edm,w20p8gzk,xd402129,413.66,2016-03-05,False
qjolzlj6,kdkz2edm,w20p8gzk,n93q41nw,363,2016-03-05,False
qjolzlj6,kdkz2edm,w20p8gzk,y9m5x65d,198.7,2016-08-21,False
qjolzlj6,kdkz2edm,7dg5vl24,None,6453.82,2020-11-12,False
qjolzlj6,kdkz2edm,7dg5vl24,None,6886,2020-02-18,False
qjolzlj6,kdkz2edm,7dg5vl24,None,7454.683,2016-03-13,False
qjolzlj6,kdkz2edm,7dg5vl24,None,7882,2016-02-28,False
qjolzlj6,kdkz2edm,7dg5vl24,None,8502,2016-02-23,False
qjolzlj6,kdkz2edm,w20p8gzk,495k5p09,365.89,2021-10-17,False
qjolzlj6,kdkz2edm,7dg5vl24,None,6384,2021-11-24,False
qjolzlj6,k6q4kzdg,7dg8xn42,nwlgoee9,445,2017-04-15,False
qjolzlj6,k6q4kzdg,7dg8xn42,z98jlv7w,271,2017-04-14,False
qjolzlj6,lde32n63,wk61ypd1,None,5688,2020-01-08,False
qjolzlj6,lde32n63,wk61ypd1,None,6680,2020-01-06,False
qjolzlj6,lde32n63,7kjv8wxk,rdqz77od,243.944,2020-01-09,False
qjolzlj6,lde32n63,7kjv8wxk,rdqz77od,253.287,2020-01-08,False
qjolzlj6,lde32n63,wk61ypd1,None,5588,2020-01-12,False
qjolzlj6,lde32n63,wk61ypd1,None,4104.375,2020-01-11,False
qjolzlj6,46w22l6r,wk6oork1,None,8451,2016-08-27,True
qjolzlj6,nd289ed0,wdm6nr4k,None,1402,2021-11-27,False
qjolzlj6,nd289ed0,wdm6nr4k,None,1299,2021-12-06,False
qjolzlj6,nd289ed0,wdm6nr4k,None,1219,2021-12-09,False
qjolzlj6,nd289ed0,wdm6nr4k,None,1142,2021-12-18,False
qjolzlj6,nd289ed0,wdm6nr4k,None,1087,2021-12-22,False
qjolzlj6,nd289ed0,wdm6nr4k,None,1053,2022-01-04,False
qjolzlj6,nd289ed0,wdm6nr4k,None,1018,2022-01-27,False
qjolzlj6,nd289ed0,wdm6nr4k,None,1003,2022-02-03,False
qjolzlj6,nd289ed0,wdm6nr4k,None,958,2022-02-23,False
qjolzlj6,76r35l68,zdnw657d,None,12025,2021-07-02,False
qjolzlj6,76r35l68,zdnw657d,None,10257,2021-07-12,False
qjolzlj6,76r35l68,zdnw657d,None,9274,2022-09-01,False
qjolzlj6,pd0n301e,wk6egq21,None,10117,2021-03-22,False
qjolzlj6,pd0n301e,wk6egq21,None,9319,2021-03-26,False
qjolzlj6,46wj9ldr,jdz8ovrd,None,4590,2020-09-20,False
qjolzlj6,46wj9ldr,jdz8ovrd,None,4381,2020-09-24,False
qjolzlj6,46wj9ldr,vdooz66d,None,3284,2021-03-04,False
qjolzlj6,46wj9ldr,jdz8ovrd,None,4300,2021-03-10,False
qjolzlj6,3dxzxp1y,jdzryv2v,None,403,2019-07-17,False
qjolzlj6,3dxzxp1y,jdzryv2v,None,312,2019-07-04,False
qjolzlj6,3dxzxp1y,jdzryv2v,None,324,2019-06-26,False
qjolzlj6,3dxzxp1y,jdzryv2v,None,356,2018-11-11,False
qjolzlj6,46wj4ndr,xd156w28,None,2131,2020-12-02,False
qjolzlj6,46wj4ndr,xd156w28,None,1694,2020-12-11,False
qjolzlj6,46wj4ndr,02qrq9ky,None,6917,2020-12-27,False
qjolzlj6,46wj4ndr,02qrq9ky,None,5606,2020-12-29,False
qjolzlj6,46wj4ndr,02qrq9ky,None,5176,2020-12-31,False
qjolzlj6,46wj4ndr,02qrq9ky,None,4882,2021-01-05,False
qjolzlj6,46wj4ndr,02qrq9ky,None,4558,2021-01-14,False
qjolzlj6,46wj4ndr,02qrq9ky,None,4383,2021-01-21,False
qjolzlj6,46wj4ndr,02qrq9ky,None,4150,2021-04-21,False
qjolzlj6,pdvjzvdw,wk67evrd,None,789,2021-02-28,False
qjolzlj6,4d708n17,zdnw87ed,rdqzj0gd,49.65,2017-02-21,False
qjolzlj6,4d708n17,zdnw87ed,5wkkj2xw,158.96,2017-02-22,False
qjolzlj6,4d708n17,xd1olzk8,None,1267,2020-03-27,False
qjolzlj6,4d708n17,xd1olzk8,None,10959,2020-03-28,False
qjolzlj6,y650j01e,02qljyyk,None,6668,2018-04-13,False
qjolzlj6,y650j01e,02qljyyk,None,8139,2018-04-11,False
qjolzlj6,y650j01e,02qljyyk,None,6398,2019-10-07,False
qjolzlj6,y650j01e,02qljyyk,None,5226,2020-05-27,False
qjolzlj6,y650j01e,02qljyyk,None,4951,2021-02-05,False
qjolzlj6,y650j01e,02qljyyk,None,4883,2021-02-15,False
qjolzlj6,y650j01e,02qljyyk,None,4837,2021-02-26,False
qjolzlj6,y650j01e,02qljyyk,None,4817,2021-05-21,False
qjolzlj6,y650j01e,02qljyyk,None,4761,2021-06-02,False
qjolzlj6,y650j01e,02qljyyk,None,4716,2021-06-10,False
qjolzlj6,j1lyozdg,rklx6ywk,None,10384,2016-11-03,False
qjolzlj6,9do7q76p,9kvp40jk,None,7011,2020-04-10,False
qjolzlj6,9do7q76p,9kvp40jk,None,6676,2020-04-11,False
qjolzlj6,9do7q76p,9kvp40jk,None,6663,2020-07-15,False
qjolzlj6,9do7q76p,9kv7z58k,y9m5vzzd,360,2020-04-10,False
qjolzlj6,9do7q76p,9kv7z58k,ewp7v5yw,179,2020-04-10,False
qjolzlj6,9do7q76p,9kv7z58k,59201p7d,232,2020-04-10,False
qjolzlj6,9do7q76p,9kv7z58k,5wkkvlvw,315,2020-04-10,False
qjolzlj6,9do7q76p,9kv7z58k,kwj7mr0w,251,2020-04-08,False
qjolzlj6,9do7q76p,9kv7z58k,owo7vxj9,103,2020-04-08,False
qjolzlj6,9do7q76p,9kv7z58k,xd1jo1zd,363,2020-04-08,False
qjolzlj6,9do7q76p,9kv7z58k,69zpv0xw,129,2020-04-06,False
qjolzlj6,9do7q76p,9kv7z58k,o9x1v03d,433,2020-04-06,False
qjolzlj6,9do7q76p,9kv7z58k,495k0nm9,293,2020-04-06,False
qjolzlj6,9do7q76p,9kv7z58k,rdqzvqod,334,2020-04-06,False
qjolzlj6,9do7q76p,9kv7z58k,5d7y0rqd,185,2020-04-06,False
qjolzlj6,9do7q76p,9kv7z58k,ywe27plw,467,2020-04-05,False
qjolzlj6,9do7q76p,9kv7z58k,r9gyo8j9,79,2020-04-05,False
qjolzlj6,9do7q76p,9kvp40jk,None,6418,2022-04-23,False
qjolzlj6,9do7q76p,9kvp40jk,None,6216,2022-05-04,False
qjolzlj6,o1y8y4dq,xd1mpgzd,None,16508,2021-09-03,False
qjolzlj6,o1y8y4dq,xd1mpgzd,None,12343,2021-09-19,False
qjolzlj6,v1pk5pd8,xk9vezgd,None,5113,2020-08-10,False
qjolzlj6,j1lll071,vdo8936k,None,3312,2020-09-28,False
qjolzlj6,76rx4vq6,rkll33rk,None,2876,2022-03-13,False
qjolzlj6,76rx4vq6,rkll33rk,None,2476.68,2022-03-18,False
qjolzlj6,76rx4vq6,rkll33rk,None,2334.43,2022-03-25,False
qjolzlj6,76rx4vq6,rkll33rk,None,2238.96,2022-04-09,False
qjolzlj6,m1mx0ox6,n2y70312,None,977.14,2021-08-10,False
qjolzlj6,m1mx0ox6,n2y70312,None,928.86,2021-08-12,False
qjolzlj6,pd0qw9w1,9d8oq862,None,262.133,2021-07-22,False
