user,game_id,category_id,level_id,time,date,emulated
qjor0m0j,9d3qp01l,5dwp0x0k,69zpkzlw,31.92,2020-01-24,False
qjor0m0j,9d3qp01l,5dwp0x0k,owo7z6o9,55.72,2020-03-22,False
qjor0m0j,9d3qp01l,5dwp0x0k,69zpkzlw,31.81,2021-05-13,False
qjor0m0j,9d3qp01l,5dwp0x0k,69zpkzlw,33.91,2019-01-15,False
qjor0m0j,9d3qp01l,5dwp0x0k,495k7509,52.19,2020-02-25,False
qjor0m0j,9d3qp01l,5dwp0x0k,xd0kzxx9,64.66,2020-03-22,False
qjor0m0j,9d3qp01l,5dwp0x0k,69zpkzlw,31.64,2022-11-01,False
qjor0m0j,9d3qp01l,5dwp0x0k,69zpkzlw,32.77,2019-01-18,False
qjor0m0j,9d3qp01l,5dwp0x0k,495k7509,52.04,2020-02-26,False
qjor0m0j,9d3qp01l,5dwp0x0k,n93q6onw,45.41,2020-03-24,False
qjor0m0j,9d3qp01l,5dwp0x0k,69zpkzlw,32.52,2019-07-17,False
qjor0m0j,9d3qp01l,5dwp0x0k,495k7509,51.72,2020-02-27,False
qjor0m0j,9d3qp01l,5dwp0x0k,n93q6onw,44.97,2020-03-25,False
qjor0m0j,9d3qp01l,z277gq52,None,3232,2018-03-16,False
qjor0m0j,9d3qp01l,5dwp0x0k,69zpkzlw,32.21,2019-08-29,False
qjor0m0j,9d3qp01l,5dwp0x0k,495k7509,51.66,2020-02-28,False
qjor0m0j,9d3qp01l,5dwp0x0k,n93q6onw,44.72,2020-03-26,False
qjor0m0j,9d3qp01l,wk6jm4pd,69zpkzlw,42.26,2018-03-29,False
qjor0m0j,9d3qp01l,n2y14m12,69zpkzlw,39.83,2019-09-01,False
qjor0m0j,9d3qp01l,5dwp0x0k,xd0kzxx9,66.97,2020-03-14,False
qjor0m0j,9d3qp01l,z277gq52,None,2883,2020-03-27,False
qjor0m0j,9d3qp01l,5dwp0x0k,69zpkzlw,37.36,2018-03-28,False
qjor0m0j,9d3qp01l,wk6jm4pd,69zpkzlw,35.32,2019-08-31,False
qjor0m0j,9d3qp01l,z277gq52,None,2654,2020-03-30,False
qjor0m0j,9d3qp01l,5dwp0x0k,69zpkzlw,34.74,2018-03-28,False
qjor0m0j,9d3qp01l,5dwp0x0k,xd0kzxx9,66.32,2020-03-15,False
qjor0m0j,9d3qp01l,z277gq52,None,2534,2020-04-03,False
qjor0m0j,o1y900v6,mkerlx8d,None,321,2018-12-29,True
qjor0m0j,o1y900v6,mkerlx8d,None,400,2018-07-20,True
qjor0m0j,o1y900v6,mkerlx8d,None,346.299,2018-08-12,True
