user,game_id,category_id,level_id,time,date,emulated
v8leerxm,k6q49mdg,n2y1p72o,None,711,2016-05-05,False
v8leerxm,k6q49mdg,5dwpm5kg,None,598,2015-05-09,False
v8leerxm,k6q49mdg,5dwpm5kg,None,549,2016-01-03,False
v8leerxm,k6q49mdg,wk6jxod1,None,563,2016-05-22,False
v8leerxm,k6q49mdg,z277j3g2,None,980,2017-04-04,False
v8leerxm,k6q49mdg,5dwpm5kg,None,626,2015-05-06,False
v8leerxm,k6q49mdg,ndxje9j2,None,11820,2016-06-07,False
v8leerxm,k6q49mdg,xk9lovk0,None,714,2016-12-25,False
v8leerxm,k6q49mdg,5dwpm5kg,None,584,2015-06-18,False
v8leerxm,k6q49mdg,z277j3g2,None,817,2022-01-13,False
v8leerxm,k6q49mdg,5dwpm5kg,None,546,2018-01-17,False
v8leerxm,k6q49mdg,z277j3g2,None,907,2018-07-12,False
v8leerxm,k6q49mdg,5dwpm5kg,None,543,2018-01-18,False
v8leerxm,k6q49mdg,zdnq5ndq,None,874,2019-03-23,False
v8leerxm,k6q49mdg,5dwpm5kg,None,548,2016-05-02,False
v8leerxm,k6q49mdg,z277j3g2,None,839,2020-03-30,False
v8leerxm,k6q49mdg,5dwpm5kg,None,550,2016-01-24,False
v8leerxm,k6q49mdg,5dwpm5kg,None,537,2018-01-18,False
v8leerxm,k6q49mdg,5dwpm5kg,None,717,2015-05-04,False
v8leerxm,k6q49mdg,5dwpm5kg,None,576,2015-07-30,False
v8leerxm,k6q49mdg,z2770420,None,835,2022-05-25,False
v8leerxm,k6q49mdg,z277j3g2,None,853,2018-10-07,False
v8leerxm,k6q49mdg,ndxje9j2,None,16037,2015-09-26,False
v8leerxm,k6q49mdg,5dwpm5kg,None,568,2015-08-11,False
v8leerxm,k6q49mdg,xk9lovk0,None,759,2016-05-05,False
v8leerxm,k6q49mdg,5dwpm5kg,None,559,2015-11-26,False
v8leerxm,j1nenx1p,xk9gn6d0,None,49.433,2015-06-16,False
v8leerxm,kdkmg21m,rkllw6kn,None,464,2016-10-27,False
v8leerxm,kdkmg21m,rkllw6kn,None,477,2016-09-09,False
v8leerxm,kdkmg21m,ndx9yodq,None,519,2016-11-13,False
v8leerxm,kdkmg21m,ndx9yodq,None,621,2016-07-24,False
v8leerxm,kdkmg21m,ndx9yodq,None,592,2016-07-26,False
v8leerxm,kdkmg21m,ndx9yodq,None,570,2016-07-29,False
v8leerxm,kdkmg21m,ndx9yodq,None,550,2016-09-01,False
v8leerxm,kdkmg21m,ndx9yodq,None,543,2016-11-29,False
v8leerxm,kdkmg21m,ndx9yodq,None,540,2016-09-03,False
v8leerxm,kdkmg21m,ndx9yodq,None,525,2016-10-07,False
v8leerxm,o6gww812,wdm9e3kq,None,23.56,2015-10-03,True
v8leerxm,m1m3pp62,7dg33xk4,None,51.999,2015-09-16,False
v8leerxm,j1lzxe6g,xd17934d,n935lzw0,3.6,2018-11-24,False
v8leerxm,j1lzxe6g,02qly8pk,ldy7krd3,9,2018-11-25,False
v8leerxm,j1lzxe6g,9d8g1j3k,n935lzw0,5.4,2018-11-25,False
v8leerxm,j1lzxe6g,z27g3r02,None,468,2018-11-25,False
v8leerxm,j1lzxe6g,q257r88d,ldy7krd3,11.8,2018-11-24,False
v8leerxm,j1lzxe6g,z27g3r02,None,681,2015-07-16,False
v8leerxm,j1lzxe6g,z27g3r02,None,537,2016-04-10,False
v8leerxm,j1lzxe6g,jdr7j1x2,gdr4olwz,12.3,2018-11-24,False
v8leerxm,4d7qlr67,z27gqw42,None,434,2016-02-04,False
v8leerxm,76rqjqd8,9d8jgv7k,None,10653,2017-05-22,False
v8leerxm,76rqjqd8,9d8jgv7k,None,9625,2017-06-19,False
