user,game_id,category_id,level_id,time,date,emulated
x72mppq8,m1zkn010,9d8g83kn,None,1485,2021-03-09,True
x72mppq8,m1zkn010,9d8g83kn,None,1265,2021-03-12,True
x72mppq8,m1zkn010,9d8g83kn,None,1187,2021-05-02,True
x72mppq8,ldezond3,vdog862p,None,167,2021-02-12,False
x72mppq8,ldezond3,wdmolekq,None,3155,2021-02-01,False
x72mppq8,pdvnq46w,n2yqjgzk,None,4765,2021-01-23,False
x72mppq8,pdvnq46w,7kjvqonk,None,8143,2021-05-25,False
x72mppq8,pdvnq46w,5dwjygek,None,1215,2021-02-09,False
x72mppq8,pdvnq46w,n2yqjgzk,None,4908,2021-01-15,False
x72mppq8,pdvnq46w,7kjvqonk,None,7760,2021-06-02,False
x72mppq8,pdvnq46w,n2yqjgzk,None,4641,2023-03-18,False
x72mppq8,pdvnq46w,n2yqjgzk,None,5007,2021-01-14,False
x72mppq8,pdvnq46w,n2yqjgzk,None,4565,2023-03-22,False
x72mppq8,pdvnq46w,n2yqjgzk,None,5080,2021-01-13,False
x72mppq8,pdvnq46w,5dwjygek,None,1369,2021-01-13,False
x72mppq8,pdvnq46w,7kjvqonk,None,7702,2021-08-29,False
x72mppq8,pdvnq46w,5dwjygek,None,1387,2021-01-06,False
x72mppq8,pdvnq46w,9d8og172,None,2830,2021-04-09,False
x72mppq8,pdvnq46w,xk90np4k,None,10744,2021-09-04,False
x72mppq8,pdvnq46w,n2yqjgzk,None,4690,2021-01-30,False
x72mppq8,pdvnq46w,n2yqjgzk,None,4648,2021-02-13,False
x72mppq8,o1y9exk6,mkelx5xd,None,1479,2021-02-02,False
x72mppq8,m1zj9x36,z2748r42,None,295,2021-03-01,False
