user,game_id,category_id,level_id,time,date,emulated
xkog0g68,j1n4el6p,7dg60xk4,None,413.24,2023-03-20,False
xkog0g68,3dxz7p1y,mkex06d6,o9x6o79l,30,2020-06-22,True
xkog0g68,3dxz7p1y,mkex06d6,o9x6o79l,27,2022-05-14,True
xkog0g68,3dxz7p1y,mkex06d6,o9x6o79l,25,2022-05-14,True
xkog0g68,v1pgyz18,vdoevokp,None,106,2022-10-08,False
xkog0g68,v1pgyz18,vdoevokp,None,96,2022-12-26,False
xkog0g68,v1pgyz18,vdoevokp,None,103,2022-10-28,False
xkog0g68,v1pgyz18,vdoevokp,None,92,2023-01-02,False
xkog0g68,v1pgyz18,vdoevokp,None,97,2022-11-01,False
xkog0g68,v1pgyz18,vdoevokp,None,89,2023-02-14,False
xkog0g68,v1pgyz18,w2094z2n,None,3,2022-08-06,False
xkog0g68,v1pgyz18,vdoevokp,None,145,2022-08-06,False
xkog0g68,v1pgyz18,wdmp14dq,None,42,2022-09-24,False
xkog0g68,v1pgyz18,vdoevokp,None,120,2022-09-24,False
xkog0g68,v1pgyz18,wdmp14dq,None,32,2022-10-01,False
xkog0g68,v1pgyz18,wdmp14dq,None,27,2022-11-27,False
xkog0g68,k6q4lv9d,q259rygk,None,648.833,2023-03-21,False
xkog0g68,kdkm2el1,02qr50jk,None,349,2022-11-21,False
xkog0g68,kdkm2el1,9kvn0eod,None,203.833,2022-11-21,False
xkog0g68,kdkm2el1,jdznyj3d,None,174.65,2022-11-22,False
xkog0g68,kdkm2el1,jdznyj3d,None,166.95,2022-11-24,False
xkog0g68,m1zkvv01,wkpgpg0k,None,281.55,2022-06-13,False
xkog0g68,m1zkvv01,wkpgpg0k,None,482.71,2022-06-12,False
xkog0g68,m1zkvv01,wkpgpg0k,None,279.067,2022-06-14,False
xkog0g68,m1zkvv01,wkpgpg0k,None,51.433,2022-06-12,False
xkog0g68,k6qwv496,xd1ov5zk,None,7106,2023-03-17,False
