user,game_id,category_id,level_id,time,date,emulated
y8dmopo8,qw6jp56j,rklg0ndn,None,6764,2020-02-10,False
y8dmopo8,qw6jp56j,rklg0ndn,None,6973,2019-06-28,False
y8dmopo8,qw6jp56j,8247ee25,None,7225,2021-05-16,True
y8dmopo8,pdv7vvdw,jdrqzj5k,None,5656,2021-01-08,True
y8dmopo8,pdv7vvdw,jdz3y1g2,None,5354,2021-01-09,True
y8dmopo8,pdv7vvdw,jdrqzj5k,None,5398,2021-01-15,True
y8dmopo8,pdv7vvdw,jdrqzj5k,None,7380,2019-06-07,True
y8dmopo8,pdv7vvdw,jdz3y1g2,None,7397,2019-06-08,True
y8dmopo8,pdv7vvdw,02qg5yyd,None,8453,2019-06-08,True
y8dmopo8,pdv7vvdw,jdrqzj5k,None,5921,2021-01-04,True
y8dmopo8,j1lqn2e6,zd3vg382,None,4138,2021-07-31,False
y8dmopo8,j1lqn2e6,7dgm47gd,None,8793,2021-08-26,False
y8dmopo8,j1lqn2e6,zd3vg382,None,6108,2021-08-30,False
y8dmopo8,j1lqn2e6,zd3vg382,None,4430,2021-11-15,False
y8dmopo8,j1lqn2e6,zd3vg382,None,4687,2021-11-21,False
y8dmopo8,j1lqn2e6,vdo566vk,None,8373,2021-03-06,False
y8dmopo8,j1lqn2e6,zd3vg382,None,4560,2022-02-06,False
y8dmopo8,j1lqn2e6,zd3vg382,None,4942,2021-07-24,False
y8dmopo8,j1lqn2e6,zd3vg382,None,4254,2021-07-25,False
