original_game_id,user_id,game_id,category_id,level_id,position
nd23y360,1xy57oz8,j1lr871g,z2771352,ldye217w,2
nd23y360,1xy57oz8,j1lr871g,z2771352,r9gzxz2d,2
nd23y360,1xy57oz8,j1lr871g,z2771352,owokyk3d,2
nd23y360,1xy57oz8,j1lr871g,z2771352,5d7787ed,2
nd23y360,1xy57oz8,j1lr871g,z2771352,xd10x0y9,2
nd23y360,1xy57oz8,j1lr871g,z2771352,nwl636gw,2
nd23y360,1xy57oz8,j1lr871g,z2771352,gdrj2jkw,2
nd23y360,1xy57oz8,j1lr871g,z2771352,rdq0l0gw,2
nd23y360,1xy57oz8,j1lr871g,z2771352,69zrzr4d,2
nd23y360,1xy57oz8,j1lr871g,q254m8wd,None,1
nd23y360,1xy57oz8,j1lr871g,z2771352,ywe4l44d,2
nd23y360,1xy57oz8,j1lr871g,z2771352,kwjypy1w,2
nd23y360,1xy57oz8,k6q493od,5dw8jond,None,3
nd23y360,1xy57oz8,k6q493od,mkeronxd,None,2
nd23y360,1xy57oz8,j1ll28z1,z27l9r5d,None,1
nd23y360,1xy57oz8,j1ll28z1,zdnx7072,None,5
nd23y360,1xy57oz8,j1ll28z1,z27l9r5d,None,5
nd23y360,1xy57oz8,m1zgn360,xk9lr4gk,None,1
nd23y360,1xy57oz8,j1lr871g,z2771352,ewpprp4w,2
nd23y360,1xy57oz8,j1lr871g,z2771352,o9x2427w,2
nd23y360,1xy57oz8,j1lr871g,z2771352,495j4j4w,2
nd23y360,1xy57oz8,j1lr871g,z2771352,y9me8e0d,2
nd23y360,1xy57oz8,9domw36p,n2y534ek,None,5
nd23y360,1xy57oz8,pdv8gr6w,zd30exrd,gdrpnqlw,1
nd23y360,1xy57oz8,pdv8gr6w,zd30exrd,z98r38pd,1
nd23y360,1xy57oz8,pdv8gr6w,zd30exrd,ldy1xprd,1
nd23y360,1xy57oz8,pdv8gr6w,zd30exrd,xd0k1749,1
nd23y360,1xy57oz8,pdv8gr6w,zd30exrd,rw6q1ngd,1
nd23y360,1xy57oz8,4d7o5l17,ndxjgg12,None,1
nd23y360,1xy57oz8,pdv8gr6w,5dwjzrek,None,1
nd23y360,1xy57oz8,369eygdl,7kjvw6zk,kwj7ge7w,1
nd23y360,1xy57oz8,369eygdl,7kjvw6zk,xd1jm55d,1
nd23y360,1xy57oz8,369eygdl,7kjvw6zk,owo7j2k9,1
nd23y360,1xy57oz8,369eygdl,w20poj8k,None,1
nd23y360,1xy57oz8,369eygdl,7kjvw6zk,ewp73qjw,1
nd23y360,1xy57oz8,369eygdl,xk907vgk,xd1jm55d,1
nd23y360,1xy57oz8,369eygdl,xk907vgk,495k2j39,1
nd23y360,1xy57oz8,yd4g2pde,5dwrrn2g,None,1
nd23y360,1xy57oz8,369eygdl,7kjvw6zk,rdqz802d,1
nd23y360,1xy57oz8,369eygdl,7kjvw6zk,o9x1g2pd,1
nd23y360,1xy57oz8,369eygdl,7kjvw6zk,r9gylzp9,1
nd23y360,1xy57oz8,369eygdl,7kjvw6zk,69zp5rgw,1
nd23y360,1xy57oz8,369eygdl,xk907vgk,ewp73qjw,1
nd23y360,1xy57oz8,369eygdl,xk907vgk,owo7j2k9,1
nd23y360,1xy57oz8,369eygdl,xk907vgk,69zp5rgw,1
nd23y360,1xy57oz8,369eygdl,xk907vgk,rdqz802d,1
nd23y360,1xy57oz8,369eygdl,xk907vgk,r9gylzp9,1
nd23y360,1xy57oz8,369eygdl,xk907vgk,o9x1g2pd,1
nd23y360,1xy57oz8,369eygdl,7kjvw6zk,5d7y136d,1
nd23y360,1xy57oz8,369eygdl,7kjvw6zk,495k2j39,1
nd23y360,1xy57oz8,nd23y360,w20pllvk,None,1
nd23y360,1xy57oz8,pdv8gr6w,mke55mjk,xd0k1749,1
nd23y360,1xy57oz8,pdv8gr6w,mke55mjk,rw6q1ngd,1
nd23y360,1xy57oz8,pdv8gr6w,mke55mjk,r9gyl3p9,1
nd23y360,1xy57oz8,pdv8gr6w,mke55mjk,495k2839,1
nd23y360,1xy57oz8,pdv8gr6w,mke55mjk,kwj7g57w,1
nd23y360,1xy57oz8,pdv8gr6w,mke55mjk,5d7y1v6d,1
nd23y360,1xy57oz8,pdv8gr6w,mke55mjk,owo7j0k9,1
nd23y360,dx3lzvkx,nd23y360,w20pllvk,None,2
