original_game_id,user_id,game_id,category_id,level_id,position
nd2ev5d0,e8e2lpd8,lde3rpj6,7dgn6672,ywejqy7d,62
nd2ev5d0,e8e2lpd8,76r34p46,9d8yvlqk,nwl0qqew,6
nd2ev5d0,e8e2lpd8,76r34p46,9d8yvlqk,gdrrmmld,5
nd2ev5d0,e8e2lpd8,76r34p46,9d8yvlqk,ldyqnnrw,7
nd2ev5d0,e8e2lpd8,76r34p46,9d8yvlqk,z98pyypw,8
nd2ev5d0,e8e2lpd8,76r34p46,9d8yvlqk,rdn3667w,6
nd2ev5d0,e8e2lpd8,yd4orkg1,n2y5xzzk,None,7
nd2ev5d0,e8e2lpd8,w6jlmkxd,xk9eq742,None,2
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,29vnlpxd,2
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,owo4ex39,2
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,69zeqv49,2
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,592e8p69,2
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,rdn4lg69,2
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,5d7qe0ew,2
nd2ev5d0,e8e2lpd8,w6jlmkxd,9d8er87d,None,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,nwl4yvg9,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,495xr04d,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,r9gqjo2d,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,kwj48m1w,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,rdq43vg9,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,ywexj749,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,o9xrzv79,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,owo4ev39,1
nd2ev5d0,e8e2lpd8,k6q4wmxd,rklq5jw2,None,3
nd2ev5d0,e8e2lpd8,k6q4wmxd,9kvm8m0k,None,1
nd2ev5d0,e8e2lpd8,k6q423od,wdmve7xd,None,1
nd2ev5d0,e8e2lpd8,k6q423od,vdoxjn1d,rdq430m9,2
nd2ev5d0,e8e2lpd8,y654jg8d,w203pz52,None,2
nd2ev5d0,e8e2lpd8,y654jg8d,9d8og3l2,None,3
nd2ev5d0,e8e2lpd8,yd4orkg1,mkez8m8k,None,4
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,xd062ojd,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,rw65ly6d,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,xd4gy88d,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,n93zn3rw,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,z984zl1w,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,ldyl5079,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,gdr68vkd,1
nd2ev5d0,e8e2lpd8,k6q423od,vdoxjn1d,5d7qe75w,1
nd2ev5d0,e8e2lpd8,k6q423od,vdoxjn1d,kwj48yrw,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,kwj48r1w,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,5wk4nlxd,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,5d7qerew,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,ewp4z54w,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,y9m4rz09,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,o9xrz079,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,495xrn4d,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,rdq43qg9,2
nd2ev5d0,e8e2lpd8,w6jlmkxd,zdnl69e2,xd1l31y9,1
nd2ev5d0,e8e2lpd8,w6jlmkxd,z274nj02,None,1
nd2ev5d0,e8e2lpd8,yd4orkg1,wkpv00gk,xd4235pw,5
nd2ev5d0,e8e2lpd8,yd4orkg1,vdooglvd,xd4235pw,4
nd2ev5d0,e8e2lpd8,yd4orkg1,wdmwo3o2,xd4235pw,3
nd2ev5d0,e8e2lpd8,yd4orkg1,zd3641vd,xd4235pw,4
nd2ev5d0,e8e2lpd8,yd4orkg1,9kvm3e8k,xd4235pw,4
nd2ev5d0,e8e2lpd8,yd4orkg1,9kvm3eok,xd4235pw,3
nd2ev5d0,e8e2lpd8,yd4orkg1,wkpoexw2,xd4235pw,3
nd2ev5d0,e8e2lpd8,yd4orkg1,xd1eon42,xd4235pw,3
nd2ev5d0,e8e2lpd8,yd4orkg1,rklqm1n2,xd4235pw,3
nd2ev5d0,e8e2lpd8,yd4orkg1,ndxml6r2,xd4235pw,5
nd2ev5d0,e8e2lpd8,yd4orkg1,w20wm75d,xd4235pw,5
nd2ev5d0,e8e2lpd8,y654jg8d,w203pz52,None,1
nd2ev5d0,e8e2lpd8,k6q4rqzd,xk986z42,None,14
nd2ev5d0,e8e2lpd8,k6q4rqzd,xk986z42,None,9
nd2ev5d0,e8e2lpd8,k6q4wn0d,q25q5v82,None,5
nd2ev5d0,e8e2lpd8,yd4orkg1,9d868032,xd4235pw,3
nd2ev5d0,e8e2lpd8,yd4orkg1,mkez8m8k,None,3
nd2ev5d0,e8e2lpd8,9dow8le1,rklq08r2,None,6
nd2ev5d0,e8e2lpd8,k6q4rqzd,z27lez0d,None,8
nd2ev5d0,e8e2lpd8,o6go0xd2,xk9g5myd,None,5
nd2ev5d0,e8e2lpd8,76rxjz46,vdo3mwod,None,3
nd2ev5d0,e8e2lpd8,k6q4rqzd,z27lez0d,None,238
nd2ev5d0,e8e2lpd8,46w32971,xk9gwmyd,None,5
nd2ev5d0,e8e2lpd8,v1p75718,wdmw5842,None,8
nd2ev5d0,e8e2lpd8,m1mxngp6,mkezwp8k,None,10
nd2ev5d0,e8e2lpd8,nd2ev5d0,w20vw9jk,495y8omw,2
nd2ev5d0,e8e2lpd8,pd0wl4l1,vdomq1v2,None,13
nd2ev5d0,8dwyyv9j,nd2ev5d0,02qoz9ky,None,1
nd2ev5d0,8dwyyv9j,lde77j13,zd3600yd,None,1
nd2ev5d0,8dwyyv9j,nd2ev5d0,rklvqo6d,None,2
nd2ev5d0,8dwyyv9j,lde77j13,zd3weprk,None,1
nd2ev5d0,8dwyyv9j,lde77j13,zd3x778d,None,1
nd2ev5d0,8dwyyv9j,lde77j13,xd1gp6wd,None,2
nd2ev5d0,8dwyyv9j,lde77j13,n2y5jy7k,ewpj4lkw,1
nd2ev5d0,8dwyyv9j,lde77j13,9kvmxlek,None,1
nd2ev5d0,qj2zw96j,o1yyyv1q,wdmz7no2,None,1
nd2ev5d0,qj2zw96j,pd0qr721,ndxrzjod,None,1
nd2ev5d0,qj2zw96j,nd2ev5d0,02qoz9ky,None,3
nd2ev5d0,qj2zw96j,lde77j13,zd3600yd,None,4
nd2ev5d0,qj2zw96j,nd2ev5d0,rklvqo6d,None,3
nd2ev5d0,qj2zw96j,nd2yyq10,vdo0n9yd,None,4
nd2ev5d0,qj2zw96j,o1yyyv1q,w20p5r5k,None,2
nd2ev5d0,qj2zw96j,o1yyyv1q,wdmz7no2,None,3
nd2ev5d0,qj2zw96j,j1n39wdp,wdmzj142,None,3
nd2ev5d0,qj2zw96j,nd2ev5d0,ndx7mvo2,None,3
nd2ev5d0,x3mo2gq8,nd2ev5d0,w20vw9jk,495y8omw,1
nd2ev5d0,x3mo2gq8,nd2ev5d0,w20vw9jk,495y8omw,3
nd2ev5d0,x3mo2gq8,nd2ev5d0,02qvm8yd,495y8omw,1
nd2ev5d0,x3mo2gq8,nd2ev5d0,02qvm8yd,495y8omw,2
nd2ev5d0,8wkrmpv8,nd2ev5d0,ndx7mvo2,None,2
nd2ev5d0,8wkrmpv8,j1ne3w91,5dw6y5l2,None,1
nd2ev5d0,8wkrmpv8,j1ne3w91,5dw6y5l2,None,1
nd2ev5d0,8wkrmpv8,j1ne3w91,vdo8qqyk,None,1
nd2ev5d0,8wkrmpv8,j1ne3w91,vdo8qqyk,None,1
nd2ev5d0,8lppnd2j,nd2ev5d0,rklvqo6d,None,1
nd2ev5d0,8lppnd2j,nd2ev5d0,rklvqo6d,None,1
nd2ev5d0,8lppnd2j,nd2ev5d0,02qoz9ky,None,1
nd2ev5d0,8lppnd2j,nd2ev5d0,02qoz9ky,None,4
nd2ev5d0,qjn1ddd8,pd0w2vw1,zdnx5ln2,None,2
nd2ev5d0,qjn1ddd8,lde0vn63,7kjvz0zk,None,4
nd2ev5d0,qjn1ddd8,pd0w2vw1,rkljyord,None,3
nd2ev5d0,qjn1ddd8,pd0w2vw1,z27l044d,None,1
nd2ev5d0,qjn1ddd8,o1yrz26q,q253ynvk,None,3
nd2ev5d0,qjn1ddd8,o1yrz26q,9d8lw62n,None,3
nd2ev5d0,qjn1ddd8,2680ek1p,z27orl0d,None,2
nd2ev5d0,qjn1ddd8,o1yyyv1q,w20p5r5k,None,1
nd2ev5d0,qjn1ddd8,268eg8o6,xk9ey442,None,3
nd2ev5d0,qjn1ddd8,j1lzzj6g,ndx3my5d,None,9
nd2ev5d0,qjn1ddd8,j1lzzj6g,ndx3my5d,None,1
nd2ev5d0,qjn1ddd8,268eg8o6,wk6em5q2,None,3
nd2ev5d0,qjn1ddd8,j1ll22j1,wkpmr88k,None,6
nd2ev5d0,qjn1ddd8,j1ll22j1,wkpmr88k,None,5
nd2ev5d0,qjn1ddd8,k6qw5gx6,7dg7vqgd,None,1
nd2ev5d0,qjn1ddd8,k6qw5gx6,7dg7vqgd,None,1
nd2ev5d0,qjn1ddd8,76roll68,jdrlm7nd,None,1
nd2ev5d0,qjn1ddd8,j1ll22j1,wkpmr88k,None,27
nd2ev5d0,qjn1ddd8,2680ek1p,rkl58p62,None,1
nd2ev5d0,qjn1ddd8,2680ek1p,zd3yy5r2,None,1
nd2ev5d0,qjn1ddd8,nd2ev5d0,02qoz9ky,None,8
nd2ev5d0,qjn1ddd8,nd2yyq10,n2y9r4ed,rw63r5rw,1
nd2ev5d0,qjn1ddd8,nd2yyq10,7kj8l5gd,rw63r5rw,1
nd2ev5d0,qjn1ddd8,nd2yyq10,vdo8nmok,None,1
nd2ev5d0,qjn1ddd8,9d35391l,xd1q66w2,rdnvjr59,1
nd2ev5d0,qjn1ddd8,o1yyyv1q,wdmz7no2,None,1
nd2ev5d0,qjn1ddd8,o1yrz26q,wk6ny7o2,None,3
nd2ev5d0,qjn1ddd8,pd0wx8l1,rklqj3n2,None,8
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,gdr7qgkw,1
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,ldy0p2z9,1
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,ywep85rd,3
nd2ev5d0,qjn1ddd8,76roll68,w20p8vzk,None,1
nd2ev5d0,qjn1ddd8,nd2yyq10,n2y3rq7d,None,1
nd2ev5d0,qjn1ddd8,pd0w2vw1,wk6oleok,None,2
nd2ev5d0,qjn1ddd8,nd2yyq10,vdo0n9yd,None,1
nd2ev5d0,qjn1ddd8,46we596r,zd3j8zn2,None,1
nd2ev5d0,qjn1ddd8,pd0w2vw1,zdnx5ln2,None,2
nd2ev5d0,qjn1ddd8,pd0w2vw1,z27l044d,None,2
nd2ev5d0,qjn1ddd8,pd0w2vw1,wk6oleok,None,1
nd2ev5d0,qjn1ddd8,76roll68,zdnz84ed,None,1
nd2ev5d0,qjn1ddd8,9d3r539d,7kjgg03k,None,1
nd2ev5d0,qjn1ddd8,76roll68,jdrlm7nd,None,1
nd2ev5d0,qjn1ddd8,9d3r539d,z27ww4gk,None,1
nd2ev5d0,qjn1ddd8,76roll68,zdnz84ed,None,1
nd2ev5d0,qjn1ddd8,nd2yyq10,7kjpyl4k,None,1
nd2ev5d0,qjn1ddd8,nd2yyq10,n2y56rmk,None,1
nd2ev5d0,qjn1ddd8,9d3r539d,ndx5ewvk,None,1
nd2ev5d0,qjn1ddd8,76roll68,jdrlm7nd,None,1
nd2ev5d0,qjn1ddd8,o1yjnvr1,xk9xqw6k,gdr7qgkw,1
nd2ev5d0,qjn1ddd8,o1yjnvr1,xk9xqw6k,xd4832pw,1
nd2ev5d0,qjn1ddd8,o1yjnvr1,xk9xqw6k,5wklrpq9,1
nd2ev5d0,qjn1ddd8,o1yjnvr1,mkeynyx2,None,6
nd2ev5d0,qjn1ddd8,o1yjnvr1,wk6393rk,None,4
nd2ev5d0,qjn1ddd8,46w33l1r,9d8p7ylk,None,16
nd2ev5d0,qjn1ddd8,o1yjnvr1,mkeynyx2,None,2
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,n933gor9,4
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,z98l8n1d,2
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,xd0o7x1d,1
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,rdqq171d,5
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,y9mzp81d,1
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,5wklrpq9,3
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,gdr7qxzw,2
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,xd115x6d,2
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,ewp5qrz9,5
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,n933g4e9,4
nd2ev5d0,qjn1ddd8,o1yjnvr1,7kj9xg42,ewp5qxz9,3
nd2ev5d0,qjn1ddd8,nd2yyq10,vdo0n9yd,None,1
nd2ev5d0,qjn1ddd8,nd2yyq10,n2y3rq7d,None,1
nd2ev5d0,qjn1ddd8,nd2yyq10,7dg8exg2,xd0oykmd,1
nd2ev5d0,qjn1ddd8,o1yjnvr1,mkeynyx2,None,1
nd2ev5d0,qjn1ddd8,46w33l1r,n2y7zw82,None,10
nd2ev5d0,qjn1ddd8,j1lzzj6g,ndx3my5d,None,1
nd2ev5d0,qjn1ddd8,nd2yyq10,7dg8exg2,xd48z0qw,1
nd2ev5d0,qjn1ddd8,nd2yyq10,7dg8exg2,29vpxmq9,1
nd2ev5d0,qjn1ddd8,nd2yyq10,7dg8exg2,rw6yxqp9,1
nd2ev5d0,qjn1ddd8,nd2yyq10,7dg8exg2,5wklokv9,2
nd2ev5d0,qjn1ddd8,3dx20gg1,n2y3r7ed,None,1
nd2ev5d0,qjn1ddd8,pdvepr6w,9d8vr76k,None,2
nd2ev5d0,qjn1ddd8,o1yjnvr1,xk9xqw6k,69z042od,1
nd2ev5d0,qjn1ddd8,o1yjnvr1,xk9xqw6k,owox26yw,3
nd2ev5d0,qjn1ddd8,pdvepr6w,xd1m06rd,None,2
nd2ev5d0,qjn1ddd8,pdvepr6w,xd1m06rd,None,1
nd2ev5d0,qjn1ddd8,y65z346e,zd3qm8kn,None,1
nd2ev5d0,qjn1ddd8,9d3r539d,ndx5ewvk,None,1
nd2ev5d0,qjn1ddd8,268exwy6,vdo31v9d,None,3
nd2ev5d0,qjn1ddd8,y65z346e,9kvngodg,None,1
nd2ev5d0,qjn1ddd8,9d3r539d,rkl559n2,None,1
nd2ev5d0,qjn1ddd8,nd2ev5d0,rklvqo6d,None,6
nd2ev5d0,qjn1ddd8,76roll68,w20p8vzk,None,3
nd2ev5d0,qjn1ddd8,76roll68,z27w160k,None,2
nd2ev5d0,qjn1ddd8,4pdver6w,jdrpq026,None,19
nd2ev5d0,qjn1ddd8,nd2yyq10,7kj731zk,None,1
nd2ev5d0,qjn1ddd8,76roll68,q25mv7jd,None,2
nd2ev5d0,qjn1ddd8,nd2yyq10,7dg8exg2,rw63r5rw,1
nd2ev5d0,qjn1ddd8,76roll68,z27w160k,None,3
nd2ev5d0,qjn1ddd8,9d3r49dl,z273e45d,5d77jogd,1
nd2ev5d0,qjn1ddd8,9dowe7o1,wk68mop2,None,1
nd2ev5d0,qjn1ddd8,9dowe7o1,mkex6m6d,rw67q1p9,1
nd2ev5d0,qjn1ddd8,9dowe7o1,5dw1wzlk,rw67q1p9,1
nd2ev5d0,qjn1ddd8,4pd0k21e,xd1m68d8,None,41
nd2ev5d0,qjn1ddd8,x3692ldl,wdmw6ne2,None,56
nd2ev5d0,qjn1ddd8,3dx20gg1,n2y3r7ed,None,1
nd2ev5d0,qjn1ddd8,nd2yyq10,7kj731zk,None,1
nd2ev5d0,qjn1ddd8,76roll68,z275l95k,None,3
nd2ev5d0,qjn1ddd8,76roll68,z27w160k,None,2
nd2ev5d0,qjn1ddd8,9d3r539d,rkl559n2,None,1
nd2ev5d0,qjn1ddd8,9d3r539d,z27ww4gk,None,1
nd2ev5d0,qjn1ddd8,o6g2r912,zd3lw9ed,None,10
nd2ev5d0,qjn1ddd8,y65z346e,xd15x728,None,1
nd2ev5d0,qjn1ddd8,4pd0k21e,zd3ypn2n,None,6
nd2ev5d0,qjn1ddd8,y65z346e,xd15x728,None,1
nd2ev5d0,qjn1ddd8,46we596r,7dggx37d,29vyl839,3
nd2ev5d0,qjn1ddd8,m1zj8z06,7kj8gvgd,None,1
nd2ev5d0,qjn1ddd8,m1zj2j06,xd1g4l7d,None,3
